brand,product,product_type,ingredients,p_id,i_id,n_ingre,n_product,mp_count,mp_percent,mp_present
L'Oréal Paris,Pure Zone Gel Exfoliante Anti-Puntos Negros 100 ml,6,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,18614,749,3,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Hydra Energetic Gel Purifiant 150 ml,6,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,14336,749,8,5751,2040,0.354720918,1
L'Oréal Paris,Triple Active Multi-Protection Day Moisturiser 24th Hydration 50 ml,6,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,25096,749,5,5751,2040,0.354720918,1
L'Oréal Paris,Hydra Active 3 sensible Haut Tagescreme 50 ml,6,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,11137,749,4,5751,2040,0.354720918,1
L'Oréal Paris,Revitalift Filler cushioning mask,6,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,19419,749,9,5751,2040,0.354720918,1
L'Oréal Paris,Brow Stylist Boost & Set Brow Mascara Light Brunette 480 3.2 ml,4,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,3710,749,9,630,234,0.371428571,1
L'Oréal Paris,Studio Line Hot & Smooth Thermal Smoothing Balm 200 ml,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,22767,745,3,6040,1970,0.32615894,1
L'Oréal Paris,Revitalift Day Cream SPF30 50 ml,6,VA/Crotonates/Vinyl Neodecanoate Copolymer,19413,745,2,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Shirt Protect 48H Anti-Perspirant Deodorant 250 ml,3,VA/Crotonates/Vinyl Neodecanoate Copolymer,14404,745,2,1588,472,0.297229219,1
L'Oréal Paris,Skin Cleansing Rare Flower Cleansing Wipes Dry & Sensitive Skin 25 stk,6,VA/Crotonates/Vinyl Neodecanoate Copolymer,21514,745,3,5751,2040,0.354720918,1
L'Oréal Paris,Sublime Sun Latte Protettivo Abbronzatura Intensa LP15 200 ml,14,VA/Crotonates/Vinyl Neodecanoate Copolymer,22969,745,2,2106,763,0.362298196,1
L'Oréal Paris,Revitalift Laser X3 Anti Rimpel Serum 30 ml,6,VA/Crotonates/Vinyl Neodecanoate Copolymer,19434,745,2,5751,2040,0.354720918,1
L'Oréal Paris,Elnett Föhn-Hitze-Styling-Spray 170 ml,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,7343,745,2,6040,1970,0.32615894,1
L'Oréal Paris,Volume Million Lashes Feline Mascara Black 9.2 ml,4,VA/Crotonates/Vinyl Neodecanoate Copolymer,26211,745,3,630,234,0.371428571,1
L'Oréal Paris,Excellence Age Perfect 8.31 Goldblond 1 stk,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,7833,745,2,6040,1970,0.32615894,1
L'Oréal Paris,Excellence Age Perfect Color Age Perfect 6.03 Donker Goudblond 1 stk,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,7835,745,2,6040,1970,0.32615894,1
L'Oréal Paris,Excellence Age Perfect Crèmekleuring 8.32 Licht Goud Parelmoerblond 1 stk,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,7837,745,2,6040,1970,0.32615894,1
L'Oréal Paris,Excellence Age Perfect 9.31 Zeer Licht Goud Asblond 1 stk,7,VA/Crotonates/Vinyl Neodecanoate Copolymer,7834,745,2,6040,1970,0.32615894,1
L'Oréal Paris,True Match Foundation (4D/4W) Golden Natural 30 ml,5,VA/Crotonates/Vinyl Neodecanoate Copolymer,25149,745,2,1190,488,0.410084034,1
